date,text,place
2020-11-26 06:11:38,"die neuen corona-beschlüsse sind, wie wenn man kleine ritzen im mauerwerk stopft, aber türen und fenster offen lässt.",Stuttgart
2020-11-26 06:01:08,"black friday-shopping-tag in zeiten von corona: neue studie von paysafe zeigt, dass angst vor betrug und kaufabbrüc… https://t.co/6kopacqn5t",Stuttgart
2020-11-26 05:58:26,"nachdem der #weihnachtsmarkt in diesem jahr wegen der #corona-pandemie ausfallen muss, haben #schorndorf centro und… https://t.co/2hf3gauo8a",Stuttgart
2020-11-26 05:44:56,mit den neuen beschlüssen von kanzlerin angela merkel (cdu) und den ministerpräsidenten kommen weitere wochen das v… https://t.co/qdhrcrulmd,Stuttgart
2020-11-26 05:41:04,prämien für die staatsdiener: ärger um corona-bonus für beamte https://t.co/uur7i42kdk,Stuttgart
2020-11-26 05:33:21,"neue corona-regeln für den einzelhandel: quadratmeter-grenze benachteiligt zahlreiche händler, supermärkte, einkauf… https://t.co/o8xuawllxk",Stuttgart
2020-11-26 05:15:21,prämien für die staatsdiener: ärger um corona-bonus für beamte https://t.co/ajd3fkrzw5,Stuttgart
2020-11-26 05:06:08,"infektionsschutz: teil-lockdown verlängert, corona-maßnahmen teilweise verschärft https://t.co/ynlg1trxch",Stuttgart
2020-11-26 04:56:49,"@welt warum diese konzentration auf ""covid""-tote?

jedes jahr versterben 40.000 menschen an lungenentzündung, 20.00… https://t.co/jv5wbvhlqh",Stuttgart
2020-11-26 04:37:15,corona-news im live-ticker - afd-spitze hält an parteitag mit 600 delegierten fest https://t.co/zyqaxogrpn #stuttgart #nachrichten,Stuttgart
2020-11-25 23:27:58,"@ch04364368 @rki_de @jensspahn @phoenix_de @rkimuseum fürs gruppenfoto auch noch komplett ohne maske.
wer soll die… https://t.co/d6iodi2rvx",Stuttgart
2020-11-25 23:10:51,"so lange die anzahl der demoteilnehmer kleiner ist als die #corona-inzidenz vor ort, so lange sollte man den… https://t.co/xhcphchieg",Stuttgart
2020-11-25 23:06:18,"@dan_roedding @nulleberg aus diesem einen oder auch mehreren dann zu schließen, dass so sachen wie 5g-corona, kinde… https://t.co/ynqqucbxij",Stuttgart
2020-11-25 22:49:52,@maischberger @manuelaschwesig @lesmoureal @mfeldenkirchen @lamyakaddor @dirkbrockmann @celik_chn @tagesthemen… https://t.co/ljydw6ldfu,Stuttgart
2020-11-25 22:44:25,"@fholzklotz die #noafd nicht vergessen, welche die gefahr, die von #corona ausgeht, komplett leugnet.",Stuttgart
2020-11-25 22:42:55,"@cos_meyer @arroganzlehr also es gibt schon gute presse. man darf halt nicht nur #bild lesen.

z.b. der kommentar v… https://t.co/vpcaatydgi",Stuttgart
2020-11-25 22:41:48,"weihnachten möglich machen! 

https://t.co/52qd5npj6g

#coronagipfel #corona #coronavirus https://t.co/kgp5jpjsxy",Stuttgart
2020-11-25 22:22:46,bund und länder haben sich auf folgende #corona-maßnahmen geeinigt. #merkelpk #coronagipfel  https://t.co/i5lo9uxjx5 https://t.co/pqxj65ntbh,Stuttgart
2020-11-25 22:14:35,"es waren intensive verhandlungen, doch am ende zeigte sich #bw-ministerpräsident winfried kretschmann (@gruenebw) z… https://t.co/ym97k1oqaw",Stuttgart
2020-11-25 22:01:12,"merkel, die ministerpräsidenten und ihre corona-maßnahmen: wie sagen wir’s den bürgern? https://t.co/obro5rzbjf",Stuttgart
2020-11-25 21:50:59,corona-news im live-ticker - covid-19 ist in der eu aktuell todesursache nr. 1 https://t.co/g8ztcdonab #stuttgart #nachrichten,Stuttgart
2020-11-25 21:46:16,nur zum verständnis: die deutschen @realdonaldtrump-fanboys &amp; -girls lehnen gerade zum großteil den (deutschen)… https://t.co/lbmg6lpcut,Stuttgart
2020-11-25 21:30:25,"jörg schönenborn (@wdr) bestätigt im text von @der_rosenkranz via @uebermedien das,was ich seit jahren predige:… https://t.co/o0lkdosbrk",Stuttgart
2020-11-25 21:25:40,corona-gipfel: maskenpflicht künftig auch auf parkplätzen https://t.co/qyyuozcxzt,Stuttgart
2020-11-25 21:22:33,"@100shirindavid das waren die männemisten, bekannte gruppierung, entdeckt 2020 mit dem corona virus das schlimmste.… https://t.co/njpzgf5tqh",Stuttgart
2020-11-25 21:16:48,corona-krise in deutschland: teil-lockdown wird bis anfang januar verlängert https://t.co/tnmwmig83o,Stuttgart
